_id,objectid_1,objectid,created_user,created_date,last_edited_user,last_edited_date,slope25,shape_are,shape_len,shape_area,shape_length
230616,672,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,417099.547241211,17500.1734882827
230617,673,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,475114.544677734,18062.5086320223
230618,674,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,197139.463989258,7693.50503688654
230619,675,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,84409.0872802734,4559.3252303123
230620,676,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,78299.4819946289,4535.55851190342
230621,677,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,149851.384887695,10537.8874759137
230622,678,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,17368.498046875,1948.52429867673
230623,679,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,120387.572937012,8179.65572291067
230624,680,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,127749.024108887,9665.15387825601
230625,681,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,27639.7194824219,2485.56043890519
230626,682,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,24604.5067749023,2585.44181426572
230627,683,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,6119.94540405273,813.462502647469
230628,684,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,68281.7842102051,8600.73447847459
230629,685,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,122153.968414307,10029.8618931843
230630,686,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,23641.8623352051,3331.78138321779
230631,687,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,32988.538269043,2394.86279415987
230632,688,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,190205.080566406,13379.122502897
230633,689,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,43847.5012207031,3243.38596319506
230634,690,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,47081.0930175781,4656.08638109797
230635,691,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,25043.6632080078,2051.46315316431
